userId,revenue by user,buy_clicks_per_user,distinct_count(adCategory),ad_clicks per_users,,,,,,,,,,
1464,90,5,6,9,,,,,,,,,,
1465,8,4,9,47,,,,,,,,,,
1468,43,3,7,25,,,,,,,,,,
1471,116,9,9,55,,,,,,,,,,
1472,21,3,6,7,,,,,,,,,,
1477,110,10,9,33,,,,,,,,,,
1480,24,4,8,33,,,,,,,,,,
1484,18,6,8,19,,,,,,,,,,
1485,100,5,9,53,,,,,,,,,,
1489,60,4,8,20,,,,,,,,,,
1495,95,7,7,14,,,,,,,,,,
1496,5,2,5,7,,,,,,,,,,
15,2,2,8,15,,,,,,,,,,
150,2,1,8,26,,,,,,,,,,
1504,7,4,6,16,,,,,,,,,,
1512,55,4,6,16,,,,,,,,,,
1516,27,11,9,49,,,,,,,,,,
1521,7,4,8,28,,,,,,,,,,
1522,20,7,9,39,,,,,,,,,,
1525,115,8,9,41,,,,,,,,,,
1527,3,2,9,33,,,,,,,,,,
153,6,2,5,8,,,,,,,,,,
1530,10,1,5,10,,,,,,,,,,
1535,65,4,9,51,,,,,,,,,,
1536,5,2,5,5,,,,,,,,,,
1537,5,2,7,38,,,,,,,,,,
1538,97,7,9,40,,,,,,,,,,
154,23,2,7,22,,,,,,,,,,
1544,85,5,9,50,,,,,,,,,,
1546,56,8,9,27,,,,,,,,,,
1548,12,4,7,21,,,,,,,,,,
1552,52,6,5,8,,,,,,,,,,
1555,38,4,9,48,,,,,,,,,,
1563,25,2,8,14,,,,,,,,,,
1567,55,12,8,48,,,,,,,,,,
157,53,4,9,37,,,,,,,,,,
1574,3,2,8,20,,,,,,,,,,
1579,42,3,6,14,,,,,,,,,,
1581,58,9,8,33,,,,,,,,,,
1583,12,4,7,12,,,,,,,,,,
1587,3,1,6,9,,,,,,,,,,
1588,19,7,9,45,,,,,,,,,,
1593,14,3,7,9,,,,,,,,,,
1602,6,2,8,19,,,,,,,,,,
1609,19,8,9,38,,,,,,,,,,
1615,14,5,9,41,,,,,,,,,,
1623,104,10,8,37,,,,,,,,,,
1624,20,5,8,24,,,,,,,,,,
1634,27,5,9,41,,,,,,,,,,
1636,25,4,9,19,,,,,,,,,,
1639,155,10,9,34,,,,,,,,,,
1640,72,7,9,38,,,,,,,,,,
1645,16,7,9,41,,,,,,,,,,
165,150,10,8,33,,,,,,,,,,
1652,81,11,8,43,,,,,,,,,,
1657,29,4,9,34,,,,,,,,,,
1658,65,5,9,45,,,,,,,,,,
168,75,5,8,32,,,,,,,,,,
1681,19,7,8,21,,,,,,,,,,
1686,40,3,3,3,,,,,,,,,,
1687,38,12,7,36,,,,,,,,,,
1690,11,8,9,41,,,,,,,,,,
1693,100,6,6,13,,,,,,,,,,
1697,172,14,9,42,,,,,,,,,,
1704,3,3,5,13,,,,,,,,,,
1713,2,2,4,6,,,,,,,,,,
1717,55,5,8,50,,,,,,,,,,
1719,6,3,7,32,,,,,,,,,,
1721,8,6,9,26,,,,,,,,,,
1722,4,4,5,9,,,,,,,,,,
1730,14,5,8,24,,,,,,,,,,
1732,172,12,9,44,,,,,,,,,,
1734,14,6,9,41,,,,,,,,,,
1740,13,6,8,35,,,,,,,,,,
1744,12,7,9,32,,,,,,,,,,
1753,5,1,6,12,,,,,,,,,,
1756,9,5,9,44,,,,,,,,,,
1759,90,5,9,48,,,,,,,,,,
1760,37,6,8,26,,,,,,,,,,
1765,12,4,5,15,,,,,,,,,,
1769,103,7,9,45,,,,,,,,,,
1770,3,2,6,15,,,,,,,,,,
1771,17,3,8,37,,,,,,,,,,
178,145,9,8,37,,,,,,,,,,
1782,61,11,9,35,,,,,,,,,,
1792,30,2,8,21,,,,,,,,,,
1793,26,5,8,46,,,,,,,,,,
1801,16,6,9,39,,,,,,,,,,
1803,65,4,8,26,,,,,,,,,,
1804,75,8,9,34,,,,,,,,,,
1806,63,7,9,41,,,,,,,,,,
1807,65,5,8,53,,,,,,,,,,
1809,12,4,8,32,,,,,,,,,,
1811,90,6,8,28,,,,,,,,,,
1815,83,8,8,39,,,,,,,,,,
1816,15,3,6,16,,,,,,,,,,
1821,10,7,9,51,,,,,,,,,,
1835,27,3,8,24,,,,,,,,,,
1837,67,7,8,19,,,,,,,,,,
1846,5,1,5,9,,,,,,,,,,
1856,9,9,9,44,,,,,,,,,,
186,9,3,9,22,,,,,,,,,,
1863,31,9,9,38,,,,,,,,,,
1872,55,5,6,10,,,,,,,,,,
1873,3,1,1,1,,,,,,,,,,
1874,43,9,9,38,,,,,,,,,,
1880,8,6,9,43,,,,,,,,,,
1885,24,3,6,10,,,,,,,,,,
1889,83,6,8,25,,,,,,,,,,
1892,24,13,9,47,,,,,,,,,,
1894,2,1,8,16,,,,,,,,,,
1905,4,2,4,4,,,,,,,,,,
1911,3,3,9,33,,,,,,,,,,
1915,120,9,8,22,,,,,,,,,,
1922,3,1,5,5,,,,,,,,,,
1925,86,6,8,15,,,,,,,,,,
1926,15,6,8,49,,,,,,,,,,
1929,10,1,7,9,,,,,,,,,,
1934,28,6,6,11,,,,,,,,,,
1935,4,3,9,48,,,,,,,,,,
1936,6,2,8,19,,,,,,,,,,
1937,7,2,8,20,,,,,,,,,,
1941,8,5,5,9,,,,,,,,,,
1945,7,7,8,34,,,,,,,,,,
1946,30,7,9,28,,,,,,,,,,
1948,2,2,8,23,,,,,,,,,,
1953,8,6,8,29,,,,,,,,,,
1954,9,5,8,14,,,,,,,,,,
1957,24,5,8,25,,,,,,,,,,
1958,54,6,9,30,,,,,,,,,,
1960,5,1,2,3,,,,,,,,,,
1966,10,1,9,50,,,,,,,,,,
1972,61,9,9,53,,,,,,,,,,
198,50,3,6,11,,,,,,,,,,
1989,54,5,9,34,,,,,,,,,,
1991,70,4,8,16,,,,,,,,,,
1997,54,11,9,44,,,,,,,,,,
2000,3,1,7,20,,,,,,,,,,
2009,80,7,9,59,,,,,,,,,,
2013,20,3,6,11,,,,,,,,,,
2016,33,4,7,14,,,,,,,,,,
2025,30,3,4,6,,,,,,,,,,
2029,160,11,9,49,,,,,,,,,,
2030,9,6,9,47,,,,,,,,,,
2032,20,12,8,39,,,,,,,,,,
2035,40,2,4,5,,,,,,,,,,
2052,3,3,4,4,,,,,,,,,,
2057,3,1,4,4,,,,,,,,,,
2071,20,1,6,11,,,,,,,,,,
2073,28,7,9,29,,,,,,,,,,
208,125,9,8,37,,,,,,,,,,
2081,40,6,8,25,,,,,,,,,,
2084,82,6,9,45,,,,,,,,,,
2090,50,4,8,11,,,,,,,,,,
2092,63,7,8,36,,,,,,,,,,
21,19,8,9,52,,,,,,,,,,
210,23,7,9,47,,,,,,,,,,
2113,65,5,8,23,,,,,,,,,,
2117,10,1,7,10,,,,,,,,,,
212,43,8,8,53,,,,,,,,,,
2122,8,2,7,17,,,,,,,,,,
2127,10,6,9,52,,,,,,,,,,
2128,14,5,8,24,,,,,,,,,,
2132,91,7,9,49,,,,,,,,,,
2133,51,10,8,37,,,,,,,,,,
2139,16,6,9,51,,,,,,,,,,
2142,22,6,9,46,,,,,,,,,,
2146,6,5,9,44,,,,,,,,,,
2152,19,6,5,11,,,,,,,,,,
2153,15,2,8,17,,,,,,,,,,
2154,100,5,3,4,,,,,,,,,,
2161,22,8,7,37,,,,,,,,,,
2162,8,3,7,17,,,,,,,,,,
2174,40,3,7,24,,,,,,,,,,
2177,70,4,9,55,,,,,,,,,,
2182,51,7,7,33,,,,,,,,,,
2190,9,5,9,25,,,,,,,,,,
2199,25,7,9,51,,,,,,,,,,
2205,3,1,8,23,,,,,,,,,,
2208,36,7,8,42,,,,,,,,,,
2209,57,9,8,36,,,,,,,,,,
221,165,14,8,52,,,,,,,,,,
2212,38,9,9,51,,,,,,,,,,
2216,90,6,9,42,,,,,,,,,,
2218,23,6,9,50,,,,,,,,,,
222,37,5,9,49,,,,,,,,,,
2221,115,10,9,67,,,,,,,,,,
2222,136,12,9,44,,,,,,,,,,
2227,66,7,5,6,,,,,,,,,,
2229,223,15,8,25,,,,,,,,,,
2230,24,3,9,40,,,,,,,,,,
2236,15,2,8,36,,,,,,,,,,
2241,23,2,8,22,,,,,,,,,,
2243,8,2,8,26,,,,,,,,,,
2244,60,6,9,33,,,,,,,,,,
2248,21,14,7,40,,,,,,,,,,
2254,43,9,8,21,,,,,,,,,,
2259,3,3,7,23,,,,,,,,,,
2260,40,2,6,8,,,,,,,,,,
2265,3,1,6,10,,,,,,,,,,
2269,3,3,6,9,,,,,,,,,,
2271,9,3,8,17,,,,,,,,,,
2278,62,8,9,28,,,,,,,,,,
2281,67,6,7,17,,,,,,,,,,
2283,5,1,6,12,,,,,,,,,,
2285,100,6,8,42,,,,,,,,,,
2293,60,6,9,34,,,,,,,,,,
2295,9,5,8,25,,,,,,,,,,
2299,12,4,9,20,,,,,,,,,,
2303,1,1,8,13,,,,,,,,,,
2306,62,12,8,61,,,,,,,,,,
2309,33,3,3,4,,,,,,,,,,
231,63,4,8,19,,,,,,,,,,
2316,25,2,3,5,,,,,,,,,,
2320,45,3,8,18,,,,,,,,,,
2326,50,3,5,6,,,,,,,,,,
233,28,9,8,37,,,,,,,,,,
2332,5,2,1,1,,,,,,,,,,
2336,1,1,9,28,,,,,,,,,,
2340,62,5,6,24,,,,,,,,,,
2343,31,4,9,42,,,,,,,,,,
2346,6,2,8,13,,,,,,,,,,
2355,128,10,8,45,,,,,,,,,,
2356,9,3,7,34,,,,,,,,,,
2359,102,8,9,43,,,,,,,,,,
236,43,6,8,24,,,,,,,,,,
2361,30,2,8,30,,,,,,,,,,
2365,3,3,4,7,,,,,,,,,,
2368,60,6,9,34,,,,,,,,,,
2379,27,6,9,41,,,,,,,,,,
2383,18,4,9,45,,,,,,,,,,
2384,36,8,8,46,,,,,,,,,,
2386,3,1,9,48,,,,,,,,,,
2387,45,4,6,19,,,,,,,,,,
239,20,3,7,16,,,,,,,,,,
243,14,12,8,21,,,,,,,,,,
244,22,9,9,56,,,,,,,,,,
248,20,2,9,47,,,,,,,,,,
250,8,2,6,7,,,,,,,,,,
253,13,5,9,53,,,,,,,,,,
256,33,3,8,33,,,,,,,,,,
26,2,2,4,9,,,,,,,,,,
261,13,2,9,28,,,,,,,,,,
265,15,2,7,10,,,,,,,,,,
27,4,2,4,10,,,,,,,,,,
271,15,6,9,44,,,,,,,,,,
277,45,3,9,48,,,,,,,,,,
279,10,7,9,55,,,,,,,,,,
281,34,5,5,12,,,,,,,,,,
286,60,6,8,29,,,,,,,,,,
29,75,6,9,20,,,,,,,,,,
293,20,2,3,4,,,,,,,,,,
294,2,1,4,6,,,,,,,,,,
305,18,6,9,30,,,,,,,,,,
306,8,6,9,45,,,,,,,,,,
309,7,6,9,50,,,,,,,,,,
313,5,2,6,15,,,,,,,,,,
331,28,3,5,9,,,,,,,,,,
332,20,1,9,13,,,,,,,,,,
333,57,5,8,35,,,,,,,,,,
34,95,9,9,34,,,,,,,,,,
343,12,6,9,48,,,,,,,,,,
347,40,2,9,25,,,,,,,,,,
352,180,12,8,42,,,,,,,,,,
355,160,13,9,56,,,,,,,,,,
357,23,8,8,32,,,,,,,,,,
358,34,6,8,33,,,,,,,,,,
365,25,3,9,33,,,,,,,,,,
367,10,9,9,45,,,,,,,,,,
371,36,5,9,54,,,,,,,,,,
374,32,11,8,55,,,,,,,,,,
375,77,7,8,33,,,,,,,,,,
378,30,2,6,9,,,,,,,,,,
38,30,2,7,29,,,,,,,,,,
382,82,7,9,44,,,,,,,,,,
383,22,2,8,13,,,,,,,,,,
388,60,4,8,35,,,,,,,,,,
390,19,8,9,50,,,,,,,,,,
397,40,3,9,31,,,,,,,,,,
399,25,6,9,36,,,,,,,,,,
400,35,3,9,51,,,,,,,,,,
403,130,7,9,26,,,,,,,,,,
404,6,2,7,24,,,,,,,,,,
409,20,1,8,34,,,,,,,,,,
412,130,8,8,49,,,,,,,,,,
415,45,3,9,56,,,,,,,,,,
417,50,8,8,50,,,,,,,,,,
420,12,7,9,23,,,,,,,,,,
426,24,9,8,38,,,,,,,,,,
427,30,4,7,12,,,,,,,,,,
430,27,11,9,38,,,,,,,,,,
436,43,6,9,37,,,,,,,,,,
439,25,2,9,33,,,,,,,,,,
442,10,1,4,4,,,,,,,,,,
445,31,10,9,40,,,,,,,,,,
448,18,7,9,31,,,,,,,,,,
455,80,9,9,32,,,,,,,,,,
462,26,9,9,48,,,,,,,,,,
464,95,7,9,40,,,,,,,,,,
471,202,12,9,51,,,,,,,,,,
473,112,10,8,46,,,,,,,,,,
497,5,2,8,21,,,,,,,,,,
498,42,6,9,31,,,,,,,,,,
499,10,1,1,1,,,,,,,,,,
500,8,5,7,14,,,,,,,,,,
504,65,7,9,43,,,,,,,,,,
508,26,5,7,22,,,,,,,,,,
511,200,10,9,43,,,,,,,,,,
515,10,1,9,22,,,,,,,,,,
518,7,7,9,31,,,,,,,,,,
526,50,3,5,11,,,,,,,,,,
530,14,4,7,16,,,,,,,,,,
531,3,1,8,27,,,,,,,,,,
536,3,1,5,11,,,,,,,,,,
542,20,1,8,26,,,,,,,,,,
559,12,2,8,20,,,,,,,,,,
561,12,5,8,21,,,,,,,,,,
564,9,9,9,53,,,,,,,,,,
579,9,3,5,12,,,,,,,,,,
582,9,3,6,6,,,,,,,,,,
585,30,3,8,38,,,,,,,,,,
590,127,9,8,27,,,,,,,,,,
595,53,4,8,56,,,,,,,,,,
611,72,6,8,43,,,,,,,,,,
62,26,7,9,46,,,,,,,,,,
620,58,5,8,17,,,,,,,,,,
624,138,11,8,47,,,,,,,,,,
627,1,1,2,3,,,,,,,,,,
628,21,2,6,10,,,,,,,,,,
643,40,13,9,38,,,,,,,,,,
649,8,8,9,54,,,,,,,,,,
65,27,8,9,38,,,,,,,,,,
650,3,1,1,1,,,,,,,,,,
66,15,5,8,33,,,,,,,,,,
663,25,5,7,16,,,,,,,,,,
667,13,2,1,1,,,,,,,,,,
67,20,1,4,5,,,,,,,,,,
670,183,13,9,46,,,,,,,,,,
68,17,7,8,40,,,,,,,,,,
688,4,4,6,21,,,,,,,,,,
689,2,1,7,21,,,,,,,,,,
701,14,5,8,25,,,,,,,,,,
708,70,4,8,49,,,,,,,,,,
711,34,5,9,16,,,,,,,,,,
715,55,4,9,25,,,,,,,,,,
717,5,5,7,22,,,,,,,,,,
718,10,1,2,2,,,,,,,,,,
721,35,3,8,17,,,,,,,,,,
726,110,7,9,31,,,,,,,,,,
728,3,1,4,4,,,,,,,,,,
732,20,2,3,5,,,,,,,,,,
736,24,11,8,44,,,,,,,,,,
740,130,8,9,40,,,,,,,,,,
741,39,8,8,51,,,,,,,,,,
742,25,2,5,8,,,,,,,,,,
748,3,3,6,16,,,,,,,,,,
751,15,6,9,44,,,,,,,,,,
754,17,5,9,41,,,,,,,,,,
755,40,4,9,19,,,,,,,,,,
76,22,11,9,52,,,,,,,,,,
764,10,1,8,33,,,,,,,,,,
765,145,9,9,34,,,,,,,,,,
767,32,5,8,46,,,,,,,,,,
769,19,7,9,47,,,,,,,,,,
770,100,7,8,9,,,,,,,,,,
79,3,3,3,4,,,,,,,,,,
799,6,2,8,19,,,,,,,,,,
8,53,5,5,10,,,,,,,,,,
801,110,8,8,44,,,,,,,,,,
807,5,5,9,58,,,,,,,,,,
808,47,8,9,25,,,,,,,,,,
810,32,9,8,43,,,,,,,,,,
819,70,5,9,36,,,,,,,,,,
820,19,7,9,47,,,,,,,,,,
824,37,6,8,18,,,,,,,,,,
825,30,2,6,9,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,52,,,,,,,,,,
,,,,13,,,,,,,,,,
,,,,56,,,,,,,,,,
,,,,42,,,,,,,,,,
,,,,42,,,,,,,,,,
,,,,40,,,,,,,,,,
,,,,33,,,,,,,,,,
,,,,53,,,,,,,,,,
,,,,37,,,,,,,,,,
,,,,48,,,,,,,,,,
,,,,31,,,,,,,,,,
,,,,44,,,,,,,,,,
,,,,9,,,,,,,,,,
,,,,45,,,,,,,,,,
,,,,21,,,,,,,,,,
,,,,13,,,,,,,,,,
,,,,45,,,,,,,,,,
,,,,37,,,,,,,,,,
,,,,48,,,,,,,,,,
,,,,9,,,,,,,,,,
,,,,14,,,,,,,,,,
,,,,21,,,,,,,,,,
,,,,1,,,,,,,,,,
,,,,30,,,,,,,,,,
,,,,24,,,,,,,,,,
,,,,1,,,,,,,,,,
,,,,41,,,,,,,,,,
,,,,44,,,,,,,,,,
,,,,41,,,,,,,,,,
,,,,13,,,,,,,,,,
,,,,9,,,,,,,,,,
,,,,19,,,,,,,,,,
,,,,30,,,,,,,,,,
,,,,10,,,,,,,,,,
,,,,22,,,,,,,,,,
,,,,19,,,,,,,,,,
,,,,9,,,,,,,,,,
,,,,25,,,,,,,,,,
,,,,45,,,,,,,,,,
,,,,49,,,,,,,,,,
,,,,35,,,,,,,,,,
,,,,31,,,,,,,,,,
,,,,23,,,,,,,,,,
,,,,13,,,,,,,,,,
,,,,22,,,,,,,,,,
,,,,8,,,,,,,,,,
,,,,21,,,,,,,,,,
,,,,43,,,,,,,,,,
